DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
157.5,-53.66503,74.8798,,269.03,16.9798,36.3856,,,,,149.2831,SB20,157.5
158.0,-55.20163,74.7732,,288.52341,18.0866,35.8279,,,,,148.9897,SB20,158.0
158.5,-56.81593,75.2588,,321.10199,19.0586,34.7356,,,,,149.09241,SB20,158.5
159.0,-57.75084,78.1463,,442.50269,19.0342,34.2815,,,,,149.6356,SB20,159.0
159.5,-58.41853,80.9208,,398.54639,18.6984,34.4471,,,,,151.0076,SB20,159.5
160.0,-58.76664,82.4894,,226.2003,18.4753,35.3351,,,,,151.97189,SB20,160.0
160.5,-59.03104,82.2768,,154.84911,18.393,36.3803,,,,,152.4493,SB20,160.5
161.0,-59.05274,81.0739,,139.2403,18.4919,37.548,,,,,152.438,SB20,161.0
161.5,-58.72264,80.0411,,177.8893,18.7428,39.0631,,,,,152.1575,SB20,161.5
162.0,-58.85914,81.0234,,250.5117,19.133,41.0499,,,,,152.4472,SB20,162.0
162.5,-59.37294,82.7897,,298.58109,19.963,43.1379,,,,,153.4511,SB20,162.5
163.0,-59.76654,83.7225,,327.97031,22.8777,46.7109,,,,,153.9243,SB20,163.0
163.5,-59.86564,83.4137,,384.14911,24.8381,48.461,,,,,154.2617,SB20,163.5
164.0,-58.72015,81.7011,,715.79639,26.594,48.9768,,,,,153.9128,SB20,164.0
164.5,-57.20875,80.7342,,1173.95667,26.5003,49.4982,,,,,153.3909,SB20,164.5
165.0,-55.88485,79.544,,1056.12366,26.0661,50.3013,,,,,153.5336,SB20,165.0
165.5,-54.69485,75.8738,,634.24988,25.0133,51.2684,,,,,154.1049,SB20,165.5
166.0,-54.89425,71.4824,,564.25708,23.9915,52.2819,,,,,155.3703,SB20,166.0
166.5,-55.53495,68.1774,,484.53391,23.9247,53.3154,,,,,156.97639,SB20,166.5
167.0,-55.23526,68.141,,337.86871,25.5872,53.7887,,,,,157.16701,SB20,167.0
167.5,-55.91276,68.8316,,249.13519,27.7718,53.0553,,,,,156.289,SB20,167.5
168.0,-56.39265,69.4918,,249.8006,29.3494,51.7595,,,,,155.41029,SB20,168.0
168.5,-56.78886,70.378,,293.4519,29.1323,49.7101,,,,,154.96561,SB20,168.5
169.0,-56.30586,72.4841,,600.02667,27.8297,50.1837,,,,,154.2979,SB20,169.0
169.5,-55.79987,75.0487,,986.72302,27.4376,51.8036,,,,,153.65691,SB20,169.5
170.0,-55.84816,77.2645,,1101.25342,27.4365,55.0029,,,,,151.9715,SB20,170.0
170.5,-55.86927,77.9075,,888.34119,27.3696,57.2954,,,,,148.4817,SB20,170.5
171.0,-55.79087,77.8921,,763.10797,27.1573,59.2532,,,,,145.23669,SB20,171.0
171.5,-56.82407,78.0973,,536.4007,26.5056,57.3047,,,,,143.2795,SB20,171.5
172.0,-57.15587,79.3786,,398.97461,25.4647,53.1387,,,,,141.8683,SB20,172.0
172.5,-56.68777,81.0599,,324.58521,23.892,50.1713,,,,,141.76131,SB20,172.5
173.0,-55.69128,82.3796,,257.3873,21.7698,45.7843,,,,,142.3277,SB20,173.0
173.5,-54.97868,82.8878,,216.5609,20.7947,43.4544,,,,,143.2448,SB20,173.5
174.0,-54.11788,82.5515,,161.9437,20.0934,42.1503,,,,,144.1618,SB20,174.0
174.5,-53.37638,80.9774,,118.0014,19.4158,42.909,,,,,146.535,SB20,174.5
175.0,-52.94018,79.8706,,111.3197,19.9709,44.0859,,,,,149.32069,SB20,175.0
175.5,-52.93158,79.0312,,159.576,21.6053,45.0589,,,,,151.5584,SB20,175.5
176.0,-52.21078,77.9124,,317.83331,22.9188,46.132,,,,,153.79781,SB20,176.0
176.5,-51.09228,76.0909,,962.97058,23.9303,44.141,,,,,155.0645,SB20,176.5
177.0,-50.37878,74.9049,,1302.31079,23.805,43.6181,,,,,156.9037,SB20,177.0
177.5,-50.24028,74.4029,,1048.68054,23.3526,44.4901,,,,,159.6433,SB20,177.5
178.0,-50.35518,74.3675,,695.53961,22.7208,44.8023,,,,,162.5695,SB20,178.0
178.5,-50.84129,74.5978,,522.94531,21.9584,47.2132,,,,,163.7166,SB20,178.5
179.0,-52.22589,74.7364,,406.18631,22.7301,49.7896,,,,,163.4584,SB20,179.0
179.5,-53.52649,74.2505,,272.79251,25.5065,49.7992,,,,,162.61189,SB20,179.5
180.0,-54.40129,73.4872,,248.16991,27.3067,48.5599,,,,,161.961,SB20,180.0
180.5,-55.30669,74.5963,,307.01221,27.1138,45.9871,,,,,160.9059,SB20,180.5
181.0,-56.2327,76.0453,,366.06671,26.6482,42.6161,,,,,159.82809,SB20,181.0
181.5,-56.3704,78.0465,,421.64859,26.5608,43.6755,,,,,159.2256,SB20,181.5
