DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
176.0,,77.0126,14.8142,12.25,88.7328,30.0365,2.292,45.925,,9.6,TL1,176.0
176.5,,75.5633,14.798,12.25,76.5628,27.8804,2.2787,46.5668,,9.6,TL1,176.5
177.0,,74.5268,15.0456,12.25,68.2392,25.7318,2.264,47.4619,,9.6,TL1,177.0
177.5,,74.8928,14.8949,12.25,60.8206,24.1931,2.2714,48.3195,,9.6,TL1,177.5
178.0,,76.8818,14.5576,12.25,54.2084,22.965,2.2905,49.2051,,9.6,TL1,178.0
178.5,,78.5455,14.2129,12.25,48.6962,21.8128,2.3011,50.7141,,9.6,TL1,178.5
179.0,,78.8577,14.196,12.25,44.7114,20.3388,2.284,52.1459,,9.6,TL1,179.0
179.5,,78.7411,14.5767,12.25,41.0527,19.1829,2.2657,51.5073,,9.6,TL1,179.5
180.0,,79.3905,14.4921,12.25,37.5682,17.978,2.2644,50.6891,,9.6,TL1,180.0
180.5,,80.1767,14.2849,12.25,41.5468,17.5025,2.2726,49.0894,,9.6,TL1,180.5
181.0,,80.0351,14.528,12.25,44.1752,17.7441,2.2761,47.096,,9.6,TL1,181.0
181.5,,79.2374,14.1369,12.25,42.3761,17.7497,2.2874,46.02,,9.6,TL1,181.5
182.0,,79.8341,14.3975,12.25,35.0745,15.8683,2.2728,48.3482,,9.6,TL1,182.0
182.5,,80.3863,14.3331,12.25,32.3854,13.3756,2.2846,47.8284,,9.6,TL1,182.5
183.0,,79.7543,14.5279,12.25,26.1613,10.1777,2.3008,44.8635,,9.6,TL1,183.0
183.5,,78.5594,14.5648,12.25,25.0702,8.8477,2.2929,44.981,,9.6,TL1,183.5
184.0,,78.3451,15.128,12.25,32.6817,10.22,2.2475,46.5289,,9.6,TL1,184.0
184.5,,78.1735,14.8601,12.25,42.6041,14.4909,2.2316,48.0768,,9.6,TL1,184.5
185.0,,78.4307,14.0019,12.25,61.5841,19.7119,2.2151,47.9322,,9.6,TL1,185.0
185.5,,78.053,14.0707,12.25,74.5624,21.5949,2.2115,46.3742,,9.6,TL1,185.5
186.0,,77.6509,14.0501,12.25,63.5372,19.1987,2.2253,45.2348,,9.6,TL1,186.0
186.5,,77.0708,13.9976,12.25,72.5254,18.3524,2.2403,44.0787,,9.6,TL1,186.5
187.0,,76.1431,13.9952,12.25,73.8221,18.7823,2.2552,41.9083,,9.6,TL1,187.0
187.5,,75.0639,14.2411,12.25,63.5872,19.4383,2.2525,41.5269,,9.6,TL1,187.5
188.0,,73.9674,13.9818,12.25,58.4288,18.4822,2.2198,43.097,,9.6,TL1,188.0
188.5,,74.2269,13.6252,12.25,41.707,13.1649,2.2619,44.3634,,9.6,TL1,188.5
189.0,,74.3179,13.5648,12.25,30.3931,10.0654,2.2584,45.5013,,9.6,TL1,189.0
189.5,,75.0492,13.5463,12.25,25.5487,9.3383,2.2338,46.9841,,9.6,TL1,189.5
190.0,,77.0992,13.4336,12.25,24.6017,9.2391,2.2125,48.7425,,9.6,TL1,190.0
190.5,,79.5455,13.3473,12.25,26.5578,9.5426,2.2243,50.6751,,9.6,TL1,190.5
191.0,,80.2974,13.3507,12.25,28.3258,10.0079,2.275,50.5696,,9.6,TL1,191.0
191.5,,80.6479,13.3676,12.25,28.8904,10.1827,2.3107,47.8285,,9.6,TL1,191.5
192.0,,80.4075,13.3994,12.25,29.355,10.1961,2.3128,46.9476,,9.6,TL1,192.0
192.5,,80.1491,13.4312,12.25,29.6456,10.1955,2.2637,47.9259,,9.6,TL1,192.5
193.0,,79.0735,13.463,12.25,29.0447,10.2899,2.2407,49.2288,,9.6,TL1,193.0
193.5,,77.8675,13.4948,12.25,32.004,10.3559,2.252,49.5518,,9.6,TL1,193.5
194.0,,77.0538,13.5266,12.25,31.2304,10.2954,2.2468,48.9512,,9.6,TL1,194.0
194.5,,76.8597,13.5629,12.25,30.8009,10.2465,2.2534,45.8442,,9.6,TL1,194.5
195.0,,77.0565,13.6289,12.25,33.1007,11.088,2.2613,44.4738,,9.6,TL1,195.0
195.5,,77.571,13.6539,12.25,39.233,12.139,2.2573,44.8414,,9.6,TL1,195.5
196.0,,77.8676,13.4242,12.25,45.7833,14.0768,2.2512,45.4105,,9.6,TL1,196.0
196.5,,77.7855,13.3184,12.25,58.5569,17.1319,2.246,46.2386,,9.6,TL1,196.5
