DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
154.0,-52.3073,66.9134,13.8205,5.2731,3.6772,6.2844,,,,,158.0296,SB19,154.0
154.5,-52.47615,67.4715,13.2066,5.3488,3.8135,6.612,,,,,159.00861,SB19,154.5
155.0,-52.2687,67.0455,12.8763,5.3149,3.8566,6.85,,,,,160.6765,SB19,155.0
155.5,-51.88234,66.6195,12.5459,5.263,3.8785,6.6394,,,,,162.3838,SB19,155.5
156.0,-51.27318,65.1117,12.434,5.2352,3.7775,6.342,,,,,164.5229,SB19,156.0
156.5,-50.50122,63.869,12.3905,5.1725,3.6249,6.0542,,,,,166.5347,SB19,156.5
157.0,-49.67687,64.0383,12.4299,5.3122,3.4502,5.8046,,,,,167.7543,SB19,157.0
157.5,-49.07431,64.9559,12.4694,5.4716,3.3545,5.5653,,,,,168.6825,SB19,157.5
158.0,-49.31715,66.4604,12.4661,5.2994,3.2805,5.3358,,,,,169.4398,SB19,158.0
158.5,-49.8837,67.323,12.4038,5.022,3.2116,5.1158,,,,,168.8532,SB19,158.5
159.0,-50.23804,68.7927,12.3783,4.9449,3.2406,4.9049,,,,,167.9333,SB19,159.0
159.5,-50.35869,70.3278,12.3683,5.0383,3.3975,4.9882,,,,,167.1496,SB19,159.5
160.0,-50.51603,71.1239,12.3996,5.6658,3.4583,5.143,,,,,165.9084,SB19,160.0
160.5,-50.72828,70.8391,12.4322,5.434,3.4983,5.3026,,,,,164.7133,SB19,160.5
161.0,-50.89162,70.8257,12.4841,4.9879,3.5908,5.4671,,,,,163.5901,SB19,161.0
161.5,-50.69206,70.9575,12.5488,4.9023,3.6622,5.6367,,,,,161.8638,SB19,161.5
162.0,-50.5197,70.8314,12.6134,4.8387,3.892,5.8481,,,,,159.82581,SB19,162.0
162.5,-50.81975,69.9032,12.6372,5.192,4.2071,6.1081,,,,,157.84219,SB19,162.5
163.0,-51.76929,67.6203,12.5995,5.3833,4.4128,6.155,,,,,156.7607,SB19,163.0
163.5,-52.63583,66.0992,12.5715,5.7063,4.8125,6.4144,,,,,156.74699,SB19,163.5
164.0,-52.99508,65.6116,12.5436,6.4549,4.8062,6.7098,,,,,158.07201,SB19,164.0
164.5,-52.97922,65.2291,12.5157,6.8762,4.8946,7.0189,,,,,160.14549,SB19,164.5
165.0,-52.70887,64.4327,12.467,6.17,5.0149,7.3421,,,,,161.5423,SB19,165.0
165.5,-52.43611,63.4776,12.3865,6.0617,5.2908,7.681,,,,,162.6312,SB19,165.5
166.0,-52.63356,61.7834,12.5234,6.9628,5.5722,8.0679,,,,,161.4557,SB19,166.0
166.5,-53.215,60.7529,12.7122,7.2899,5.9964,8.4743,,,,,159.5065,SB19,166.5
167.0,-54.19684,61.0924,12.9277,7.272,6.6233,8.9011,,,,,157.118,SB19,167.0
167.5,-54.73399,61.5613,12.9686,7.3062,7.1496,9.5945,,,,,154.4922,SB19,167.5
168.0,-54.07023,62.9544,12.7034,8.5507,7.9996,11.1063,,,,,149.5524,SB19,168.0
168.5,-52.26157,65.7835,12.4403,10.0073,9.3143,12.8563,,,,,143.8278,SB19,168.5
169.0,-49.91142,69.4794,12.5368,11.4203,13.3635,14.8819,,,,,144.6013,SB19,169.0
169.5,-48.46786,70.8315,13.0101,11.6945,15.4697,16.2989,,,,,145.536,SB19,169.5
170.0,-47.7751,69.4428,13.4364,11.9753,17.2418,17.6217,,,,,142.69299,SB19,170.0
170.5,-47.77105,66.028,13.6334,12.2759,18.971,19.0519,,,,,138.47729,SB19,170.5
171.0,-47.33669,62.488,13.6917,13.0879,19.6512,19.826,,,,,131.57851,SB19,171.0
171.5,-45.18344,58.738,13.7456,17.022,20.2024,20.4429,,,,,112.7325,SB19,171.5
172.0,-42.65768,55.1013,13.442,25.263,20.6018,20.3903,,,,,97.4924,SB19,172.0
172.5,-40.82672,52.8321,13.5827,29.2079,18.3061,20.257,,,,,82.2523,SB19,172.5
173.0,-39.63866,51.3389,13.4394,31.7893,16.2521,18.7336,,,,,81.2105,SB19,173.0
173.5,-39.31901,50.1599,12.9359,31.7832,14.2343,15.8302,,,,,83.0861,SB19,173.5
174.0,-39.63405,48.4523,12.9336,27.5679,11.9788,13.3768,,,,,79.2243,SB19,174.0
174.5,-40.0,46.2355,13.1233,24.2491,10.0807,11.3037,,,,,75.3626,SB19,174.5
175.0,-40.26904,44.3271,12.5147,23.8061,8.4833,9.7077,,,,,71.5008,SB19,175.0
175.5,-41.09608,43.6754,12.3008,23.7282,7.139,8.6328,,,,,73.6387,SB19,175.5
176.0,-43.49512,43.978,12.2905,20.7045,6.0319,7.6769,,,,,78.722,SB19,176.0
