DEPT,SP,GR,CALI,BITSIZE,MSFL,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
184.5,-8.43804,81.3571,15.0448,12.25,3.3638,18.492,13.7188,2.2312,55.8171,143.884,8.9,WA2,184.5
185.0,-8.18398,81.8489,14.9244,12.25,3.2795,18.078,13.7545,2.2226,56.7396,144.1322,8.9,WA2,185.0
185.5,-7.98483,82.0627,14.7524,12.25,3.1759,17.9384,13.8349,2.2251,55.3718,144.77609,8.9,WA2,185.5
186.0,-8.47407,81.741,14.5697,12.25,3.1145,18.148,14.0257,2.2441,54.1071,145.17909,8.9,WA2,186.0
186.5,-9.12191,81.4931,14.3984,12.25,3.072,18.28,14.141,2.2573,53.4099,145.47391,8.9,WA2,186.5
187.0,-9.59676,81.8809,14.3189,12.25,3.0644,18.9457,14.3178,2.2554,53.2202,145.7704,8.9,WA2,187.0
187.5,-9.7872,82.0279,14.2527,12.25,2.911,19.6725,14.8245,2.247,52.756,144.64149,8.9,WA2,187.5
188.0,-9.59164,81.8985,14.2785,12.25,3.1101,20.0217,15.6347,2.2417,52.3141,143.6815,8.9,WA2,188.0
188.5,-9.22519,80.6062,14.334,12.25,3.6483,20.3771,16.4648,2.2371,51.8915,143.1218,8.9,WA2,188.5
189.0,-8.97053,79.1268,14.3477,12.25,3.6869,20.6267,17.1269,2.2329,52.348,143.674,8.9,WA2,189.0
189.5,-8.81618,78.2663,14.184,12.25,3.6765,20.6882,17.4983,2.2016,53.5132,144.51221,8.9,WA2,189.5
190.0,-10.50782,78.3268,13.6679,12.25,3.4874,20.3794,17.5735,2.1946,54.8116,145.4604,8.9,WA2,190.0
190.5,-11.26906,78.3874,13.5594,12.25,3.2454,21.2115,17.4119,2.24,56.4889,146.1264,8.9,WA2,190.5
191.0,-11.22781,80.1914,13.7886,12.25,3.0216,22.0781,17.3051,2.2773,58.0658,145.34241,8.9,WA2,191.0
191.5,-10.24005,81.6776,13.9576,12.25,2.9683,23.0506,17.4284,2.2897,59.1407,146.088,8.9,WA2,191.5
192.0,-10.9792,82.3484,14.2006,12.25,3.0547,22.6822,17.7326,2.3032,57.9982,147.5565,8.9,WA2,192.0
192.5,-12.34404,82.1292,14.2305,12.25,3.1429,21.8425,18.0421,2.2877,56.8213,148.4032,8.9,WA2,192.5
193.0,-14.63639,81.6758,14.3279,12.25,3.1067,21.121,18.2281,2.2768,55.2948,147.2733,8.9,WA2,193.0
193.5,-16.88053,79.9624,14.4657,12.25,3.0347,20.4902,18.2081,2.2759,54.8525,147.87489,8.9,WA2,193.5
194.0,-18.35017,78.5199,14.2913,12.25,2.9385,20.0815,18.1881,2.2733,54.9159,148.81239,8.9,WA2,194.0
194.5,-20.19682,76.5437,14.2712,12.25,2.6344,19.681,18.0345,2.2731,55.5928,149.5504,8.9,WA2,194.5
195.0,-19.98716,74.5333,14.3591,12.25,2.4412,19.4642,17.8505,2.2641,56.4643,150.1537,8.9,WA2,195.0
195.5,-19.96311,73.3588,14.469,12.25,2.5388,19.5169,17.825,2.2604,56.8957,151.214,8.9,WA2,195.5
196.0,-19.92765,74.3448,14.5084,12.25,2.6433,19.836,17.9054,2.2574,56.6499,151.8261,8.9,WA2,196.0
196.5,-18.43169,75.8998,14.5438,12.25,2.6866,20.1672,17.9862,2.2561,56.9418,152.10899,8.9,WA2,196.5
197.0,-14.22634,79.2752,14.6875,12.25,2.6261,20.4877,18.0673,2.2457,58.0277,151.9111,8.9,WA2,197.0
197.5,-15.71048,79.3261,15.0039,12.25,2.5716,20.8133,18.1305,2.2416,58.5318,151.1351,8.9,WA2,197.5
198.0,-16.12862,79.3771,15.3204,12.25,2.6008,21.6864,17.8533,2.2342,58.6155,151.75841,8.9,WA2,198.0
198.5,-16.80407,79.2229,15.4273,12.25,2.6204,22.7251,17.5988,2.2252,58.5596,153.0527,8.9,WA2,198.5
199.0,-18.18181,79.3089,15.138,12.25,2.6165,23.7779,17.477,2.2131,58.0224,155.25211,8.9,WA2,199.0
199.5,-19.16036,79.3346,14.7031,12.25,2.6325,24.8127,17.7886,2.206,56.8749,158.442,8.9,WA2,199.5
200.0,-19.35601,80.8604,14.767,12.25,2.6089,25.7173,18.2889,2.2188,56.4239,156.062,8.9,WA2,200.0
200.5,-20.06154,82.3861,14.872,12.25,2.5841,26.6793,18.785,2.2316,56.8606,152.64349,8.9,WA2,200.5
201.0,-19.89419,82.4813,14.6643,12.25,2.647,27.8805,18.7827,2.2156,58.0591,149.51289,8.9,WA2,201.0
201.5,-19.95304,82.436,14.6604,12.25,3.0211,28.9865,18.6195,2.1902,59.0123,149.11459,8.9,WA2,201.5
202.0,-21.60338,82.7166,14.9123,12.25,3.2731,29.3762,18.1665,2.1674,57.3451,152.96899,8.9,WA2,202.0
202.5,-21.66673,81.8769,14.9693,12.25,3.2984,30.051,17.7318,2.182,56.4596,157.7739,8.9,WA2,202.5
203.0,-21.43967,81.2794,14.8555,12.25,3.3821,31.3748,17.8261,2.1851,55.7018,158.65109,8.9,WA2,203.0
203.5,-21.21261,80.4672,14.7555,12.25,3.4426,33.4991,18.0486,2.1881,55.2769,154.8455,8.9,WA2,203.5
204.0,-21.00215,79.4705,14.572,12.25,3.4902,35.1326,18.885,2.2176,55.8845,150.0497,8.9,WA2,204.0
204.5,-20.8318,78.4739,14.2132,12.25,3.5471,36.756,19.4284,2.2379,57.5806,141.797,8.9,WA2,204.5
205.0,-20.11784,76.4978,14.3352,12.25,3.4386,38.1201,19.2072,2.2495,58.8188,141.23061,8.9,WA2,205.0
205.5,-19.60259,74.0378,14.4206,12.25,2.9741,39.0734,18.824,2.2616,57.0673,141.3371,8.9,WA2,205.5
206.0,-19.26974,72.4638,14.3646,12.25,2.5278,38.757,17.9411,2.2586,55.7885,141.9456,8.9,WA2,206.0
206.5,-19.36638,70.9133,14.4545,12.25,2.6468,36.66,17.6583,2.2497,55.9564,145.8118,8.9,WA2,206.5
207.0,-19.50592,70.6572,15.0542,12.25,2.8715,36.1777,17.6067,2.3087,57.2287,152.0396,8.9,WA2,207.0
207.5,-19.88566,70.4898,15.0327,12.25,3.0643,36.4668,18.0865,2.333,58.3544,153.6367,8.9,WA2,207.5
208.0,-18.85711,70.3127,14.8268,12.25,3.3447,36.6176,19.6495,2.2906,58.0642,151.5318,8.9,WA2,208.0
208.5,-20.81376,69.8546,14.9623,12.25,3.297,37.7502,21.264,2.2607,56.5689,149.66521,8.9,WA2,208.5
209.0,-21.5615,69.862,14.9957,12.25,3.0198,38.7873,21.7337,2.2498,55.3146,149.43629,8.9,WA2,209.0
209.5,-22.40014,70.018,14.9896,12.25,2.716,39.3618,21.2558,2.2603,57.4869,150.00639,8.9,WA2,209.5
210.0,-24.74439,70.5565,14.971,12.25,2.4036,41.3098,20.4767,2.2529,60.0116,148.33549,8.9,WA2,210.0
210.5,-24.56693,71.3092,15.0253,12.25,2.0485,42.6809,19.7416,2.2424,61.0293,147.01041,8.9,WA2,210.5
